,Champion,Date,Days,Days recog.,Defences,Defenses,Event,Location,No.,Notes,Promotion,Ref.,Reign,Title_Name,Unnamed: 10_level_1,Unnamed: 9_level_1
18,Ted DiBiase,"February 5, 1988",8,—,,,The Main Event I,"Indianapolis, IN",†,"Immediately after winning the title from Hulk Hogan, André the Giant handed the championship belt to Ted DiBiase, but WWF President Jack Tunney ruled this as vacating the title and therefore DiBiase's reign is not recognized by WWE, albeit he was announced as such in the following days and even defended the title once against Bam Bam Bigelow in a February 8, 1988 live event.",WWE,[31][38],1,WWE_Championship,,
19,Vacated,"February 13, 1988",—,—,,,Superstars of Wrestling,"Hershey, PA",—,"WWF President Jack Tunney refused to recognize Ted DiBiase as champion and vacated the title. WWE recognizes the vacancy as starting on February 5, 1988, the date of the controversy, rather than the date in which the announcement was made in a video aired on tape delay on February 13, 1988.",WWE,[31][38],—,WWE_Championship,,
20,Randy Savage,"March 27, 1988",371,371,,,WrestleMania IV,"Atlantic City, NJ",12,Defeated Ted DiBiase in a tournament final to win the vacant title.,WWE,[39],1,WWE_Championship,,
21,Hulk Hogan,"April 2, 1989",364,364,,,WrestleMania V,"Atlantic City, NJ",13,The title was renamed the WWF Championship in July 1989.,WWE,[40],2,WWE_Championship,,
22,The Ultimate Warrior,"April 1, 1990",293,293,,,WrestleMania VI,"Toronto, ON, Canada",14,This was a title vs. title match in which Warrior also defended the Intercontinental Championship.,WWE,[41],1,WWE_Championship,,
23,Sgt. Slaughter,"January 19, 1991",64,64,,,Royal Rumble,"Miami, FL",15,,WWE,[42],1,WWE_Championship,,
24,Hulk Hogan,"March 24, 1991",248,248,,,WrestleMania VII,"Los Angeles, CA",16,,WWE,[43],3,WWE_Championship,,
25,The Undertaker,"November 27, 1991",6,6,,,Survivor Series,"Detroit, MI",17,,WWE,[44],1,WWE_Championship,,
26,Hulk Hogan,"December 3, 1991",1,4,,,This Tuesday in Texas,"San Antonio, TX",18,,WWE,[45],4,WWE_Championship,,
27,Vacated,"December 4, 1991",—,—,,,Superstars of Wrestling,"New Haven, CT",—,"Hogan was stripped of the title by WWF President Jack Tunney due to the controversy surrounding both of the previous title changes. Aired on tape delay on December 7, 1991.",WWE,[45],—,WWE_Championship,,
28,Ric Flair,"January 19, 1992",77,77,,,Royal Rumble,"Albany, NY",19,This was the Royal Rumble match in which Flair last eliminated Sid Justice to win the vacant title.,WWE,[46],1,WWE_Championship,,
29,Randy Savage,"April 5, 1992",149,149,,,WrestleMania VIII,"Indianapolis, IN",20,,WWE,[47],2,WWE_Championship,,
30,Ric Flair,"September 1, 1992",41,41,,,Prime Time Wrestling,"Hershey, PA",21,"Aired on tape delay on September 14, 1992. [48][49]",WWE,[50],2,WWE_Championship,,
31,Bret Hart,"October 12, 1992",174,174,,,House show,"Saskatoon, SK, Canada",22,,WWE,[51],1,WWE_Championship,,
32,Yokozuna,"April 4, 1993",<1,<1,,,WrestleMania IX,"Las Vegas, NV",23,,WWE,[52],1,WWE_Championship,,
33,Hulk Hogan,"April 4, 1993",70,70,,,WrestleMania IX,"Las Vegas, NV",24,"After Yokozuna pinned Bret Hart to win the title, Yokozuna's manager, Mr. Fuji, issued an immediate challenge to Hogan for the championship, which was accepted and Hogan won the impromptu match.",WWE,[53],5,WWE_Championship,,
34,Yokozuna,"June 13, 1993",280,280,,,King of the Ring,"Dayton, OH",25,,WWE,[54],2,WWE_Championship,,
35,Bret Hart,"March 20, 1994",248,248,,,WrestleMania X,"New York, NY",26,Roddy Piper was the guest referee.,WWE,[55],2,WWE_Championship,,
36,Bob Backlund,"November 23, 1994",3,3,,,Survivor Series,"San Antonio, TX",27,This was a Throw in the Towel submission match.,WWE,[56],2,WWE_Championship,,
37,Diesel,"November 26, 1994",358,358,,,House show,"New York, NY",28,,WWE,[57],1,WWE_Championship,,
38,Bret Hart,"November 19, 1995",133,133,,,Survivor Series,"Landover, MD",29,This was a no disqualification match.,WWE,[58],3,WWE_Championship,,
39,Shawn Michaels,"March 31, 1996",231,231,,,WrestleMania XII,"Anaheim, CA",30,This was a 60-minute Iron Man match in which Michaels won 1–0 in overtime.,WWE,[59],1,WWE_Championship,,
40,Sycho Sid,"November 17, 1996",63,63,,,Survivor Series,"New York, NY",31,,WWE,[60],1,WWE_Championship,,
41,Shawn Michaels,"January 19, 1997",25,25,,,Royal Rumble,"San Antonio, TX",32,,WWE,[61],2,WWE_Championship,,
42,Vacated,"February 13, 1997",—,—,,,Raw,"Lowell, MA",—,Shawn Michaels forfeited the title due to a knee injury.,WWE,[61],—,WWE_Championship,,
43,Bret Hart,"February 16, 1997",1,1,,,In Your House 13: Final Four,"Chattanooga, TN",33,"This was a four-way elimination match for the vacant title also involving Stone Cold Steve Austin, The Undertaker, and Vader.",WWE,[62],4,WWE_Championship,,
44,Sycho Sid,"February 17, 1997",34,34,,,Raw,"Nashville, TN",34,,WWE,[63],2,WWE_Championship,,
45,The Undertaker,"March 23, 1997",133,133,,,WrestleMania 13,"Rosemont, IL",35,This was a no disqualification match.,WWE,[64],2,WWE_Championship,,
46,Bret Hart,"August 3, 1997",98,98,,,SummerSlam,"East Rutherford, NJ",36,Shawn Michaels was the guest referee.,WWE,[65],5,WWE_Championship,,
47,Shawn Michaels,"November 9, 1997",140,140,,,Survivor Series,"Montreal, QC, Canada",37,This was the Montreal Screwjob.,WWE,[66],3,WWE_Championship,,
48,Stone Cold Steve Austin,"March 29, 1998",91,91,,,WrestleMania XIV,"Boston, MA",38,Mike Tyson was the special outside enforcer.,WWE,[67],1,WWE_Championship,,
49,Kane,"June 28, 1998",1,1,,,King of the Ring,"Pittsburgh, PA",39,"This was a First Blood match; had Kane lost, he would have set himself on fire.",WWE,[68],1,WWE_Championship,,
50,Stone Cold Steve Austin,"June 29, 1998",90,90,,,Raw,"Cleveland, OH",40,,WWE,[69],2,WWE_Championship,,
51,Vacated,"September 27, 1998",—,—,,,Breakdown: In Your House,"Hamilton, ON, Canada",—,The title was vacated after Kane and The Undertaker simultaneously pinned Stone Cold Steve Austin in a triple threat match.[70],WWE,[69],—,WWE_Championship,,
52,The Rock,"November 15, 1998",44,50,,,Survivor Series,"St. Louis, MO",41,"Defeated Mankind in the finals of the Deadly Game tournament in a recreation of the Montreal Screwjob to win the vacant title. WWE recognizes The Rock's reign as ending on January 4, 1999, when the following episode aired on tape delay.",WWE,[71],1,WWE_Championship,,
53,Mankind,"December 29, 1998",26,20,,,Raw,"Worcester, MA",42,"This was a no disqualification match. WWE recognizes Mankind's reign as beginning on January 4, 1999, when the episode aired on tape delay.",WWE,[72],1,WWE_Championship,,
54,The Rock,"January 24, 1999",2,7,,,Royal Rumble,"Anaheim, CA",43,"This was an ""I quit"" match which The Rock won by knocking Mankind unconscious while someone backstage, later revealed to be Shane McMahon, played an audio recording of Mankind saying ""I quit"" when The Rock placed the microphone against his face. WWE recognizes The Rock's reign as ending on January 31, 1999, when the following match aired on tape delay.",WWE,[73],2,WWE_Championship,,
55,Mankind,"January 26, 1999",20,15,,,Halftime Heat,"Tucson, AZ",44,"This was an Empty Arena match that aired on tape delay as a special during halftime of Super Bowl XXXIII on January 31, 1999, the date WWE recognizes as the beginning of Mankind's reign.",WWE,[74],2,WWE_Championship,,
56,The Rock,"February 15, 1999",41,41,,,Raw,"Birmingham, AL",45,This was a ladder match.,WWE,[75],3,WWE_Championship,,
57,Stone Cold Steve Austin,"March 28, 1999",56,56,,,WrestleMania XV,"Philadelphia, PA",46,This was a no disqualification match with Mankind as the guest referee.,WWE,[76],3,WWE_Championship,,
58,The Undertaker,"May 23, 1999",36,36,,,Over the Edge,"Kansas City, MO",47,Both Vince McMahon and Shane McMahon were the guest referees.,WWE,[77],3,WWE_Championship,,
59,Stone Cold Steve Austin,"June 28, 1999",55,55,,,Raw,"Charlotte, NC",48,"If The Undertaker had gotten himself disqualified, he would have lost the championship.",WWE,[78],4,WWE_Championship,,
60,Mankind,"August 22, 1999",1,1,,,SummerSlam,"Minneapolis, MN",49,This was a triple threat match also involving Triple H. Jesse Ventura was the guest referee.,WWE,[79],3,WWE_Championship,,
61,Triple H,"August 23, 1999",22,24,,,Raw,"Ames, IA",50,"Shane McMahon was the guest referee. WWE recognizes Triple H's reign as ending on September 16, 1999, when the following episode aired on tape delay.",WWE,[80],1,WWE_Championship,,
62,Vince McMahon,"September 14, 1999",6,4,,,SmackDown!,"Las Vegas, NV",51,"Shane McMahon was the guest referee. WWE recognizes Vince McMahon's reign as beginning on September 16, 1999, when the episode aired on tape delay.",WWE,[81],1,WWE_Championship,,
63,Vacated,"September 20, 1999",—,—,,,Raw,"Houston, TX",—,"Mr. McMahon vacated the title due to the Fully Loaded stipulation after losing his feud with Stone Cold Steve Austin, who defeated The Undertaker at the event and forced McMahon to no longer appear on WWF television.",WWE,[81],—,WWE_Championship,,
64,Triple H,"September 26, 1999",49,49,,,Unforgiven,"Charlotte, NC",52,"This was a six-pack challenge for the vacant title, also involving Big Show, The British Bulldog, Kane, Mankind, and The Rock. Stone Cold Steve Austin was the special outside enforcer.",WWE,[82],2,WWE_Championship,,
65,Big Show,"November 14, 1999",50,50,,,Survivor Series,"Detroit, MI",53,"This was a triple threat match also involving The Rock. Stone Cold Steve Austin had originally been scheduled to take part in the match, but he did not participate after being (in storyline) run over by a car in the parking garage earlier in the night and was replaced by Big Show.",WWE,[83],1,WWE_Championship,,
66,Triple H,"January 3, 2000",118,118,,,Raw,"Miami, FL",54,,WWE,[84],3,WWE_Championship,,
67,The Rock,"April 30, 2000",21,21,,,Backlash,"Washington, D.C.",55,Shane McMahon was the guest referee.,WWE,[85],4,WWE_Championship,,
68,Triple H,"May 21, 2000",35,35,,,Judgment Day,"Louisville, KY",56,This was a 60-minute Iron Man match which Triple H won 6–5 with Shawn Michaels as the guest referee.,WWE,[86],4,WWE_Championship,,
69,The Rock,"June 25, 2000",119,119,,,King of the Ring,"Boston, MA",57,"This was a six-man tag team match with Kane, The Rock, and The Undertaker vs. Triple H, Shane McMahon, and Vince McMahon. The Rock pinned Vince to win Triple H's title.",WWE,[87],5,WWE_Championship,,
70,Kurt Angle,"October 22, 2000",126,126,,,No Mercy,"Albany, NY",58,This was a no disqualification match.,WWE,[88],1,WWE_Championship,,
71,The Rock,"February 25, 2001",35,35,,,No Way Out,"Las Vegas, NV",59,"After the WWF purchased World Championship Wrestling (WCW) in March 2001, the WCW Championship became a second concurrently active world championship in the WWF. By November 2001, the WCW title was renamed to World Championship.",WWE,[89],6,WWE_Championship,,
72,Stone Cold Steve Austin,"April 1, 2001",175,175,,,WrestleMania X-Seven,"Houston, TX",60,This was a no disqualification match.,WWE,[90],5,WWE_Championship,,
73,Kurt Angle,"September 23, 2001",15,15,,,Unforgiven,"Pittsburgh, PA",61,,WWE,[91],2,WWE_Championship,,
74,Stone Cold Steve Austin,"October 8, 2001",62,62,,,Raw,"Indianapolis, IN",62,,WWE,[92],6,WWE_Championship,,
75,Chris Jericho,"December 9, 2001",98,98,,,Vengeance,"San Diego, CA",63,"Earlier the same night, Jericho defeated World Champion The Rock for that title. By defeating Stone Cold Steve Austin for the WWF Championship, Jericho unified both titles to become the first-ever undisputed WWF world champion. The World Championship was retired while the WWF Championship became known as the Undisputed WWF Championship.",WWE,[93],1,WWE_Championship,,
76,Triple H,"March 17, 2002",35,35,,,WrestleMania X8,"Toronto, ON, Canada",64,"In late March 2002, due to the WWF's roster having doubled in size, the brand extension began, splitting the roster between the Raw and SmackDown brands, represented by the TV shows of the same name. Championships were assigned to be exclusive to a specific brand, with the exception of the Undisputed WWF Championship and the WWF Women's Championship, which were non-exclusive at this time.",WWE,[94],5,WWE_Championship,,
77,Hollywood Hulk Hogan,"April 21, 2002",28,28,,,Backlash,"Kansas City, MO",65,"After the WWF was renamed World Wrestling Entertainment (WWE) due to a lawsuit by the World Wide Fund for Nature on May 6, 2002, the title was also renamed Undisputed WWE Championship and then WWE Undisputed Championship.",WWE,[95],6,WWE_Championship,,
78,World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),,,World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),WWE,World Wrestling Entertainment (WWE),World Wrestling Entertainment (WWE),WWE_Championship,World Wrestling Entertainment (WWE),
79,The Undertaker,"May 19, 2002",63,63,,,Judgment Day,"Nashville, TN",66,,WWE,[96],4,WWE_Championship,,
80,The Rock,"July 21, 2002",35,35,,,Vengeance,"Detroit, MI",67,This was a triple threat match also involving Kurt Angle.,WWE,[97],7,WWE_Championship,,
81,Brock Lesnar,"August 25, 2002",84,83,,,SummerSlam,"Uniondale, NY",68,"The following night, Lesnar signed a deal to appear exclusively on the SmackDown brand, making the championship exclusive to the brand. The World Heavyweight Championship was then created for the Raw brand and awarded to Triple H, who was Lesnar's number one contender. On September 2, 2002, the WWE Undisputed Championship became the WWE Championship as it was no longer ""undisputed"".",WWE,[98],1,WWE_Championship,,
82,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,WWE_Championship,WWE: SmackDown,
83,Big Show,"November 17, 2002",28,28,,,Survivor Series,"New York, NY",69,,WWE,[99],2,WWE_Championship,,
84,Kurt Angle,"December 15, 2002",105,105,,,Armageddon,"Sunrise, FL",70,,WWE,[100],3,WWE_Championship,,
85,Brock Lesnar,"March 30, 2003",119,118,,,WrestleMania XIX,"Seattle, WA",71,,WWE,[101],2,WWE_Championship,,
86,Kurt Angle,"July 27, 2003",51,53,,,Vengeance,"Denver, CO",72,"This was a triple threat match also involving Big Show. WWE recognizes Angle's reign as ending on September 18, 2003, when the following episode aired on tape delay.",WWE,[102],4,WWE_Championship,,
87,Brock Lesnar,"September 16, 2003",152,150,,,SmackDown!,"Raleigh, NC",73,"This was a 60-minute Iron Man match. WWE recognizes Lesnar's reign as beginning on September 18, 2003, when the episode aired on tape delay.",WWE,[103],3,WWE_Championship,,
88,Eddie Guerrero,"February 15, 2004",133,133,,,No Way Out,"Daly City, CA",74,,WWE,[104][105],1,WWE_Championship,,
89,"John ""Bradshaw"" Layfield","June 27, 2004",280,280,,,The Great American Bash,"Norfolk, VA",75,This was a Texas bullrope match.,WWE,[106][107],1,WWE_Championship,,
90,John Cena,"April 3, 2005",280,280,,,WrestleMania 21,"Los Angeles, CA",76,The title became exclusive to the Raw brand following the 2005 WWE Draft Lottery.,WWE,[108][109],1,WWE_Championship,,
91,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,WWE_Championship,WWE: Raw,
92,Edge,"January 8, 2006",21,21,,,New Year's Revolution,"Albany, NY",77,Cashed in his Money in the Bank contract.,WWE,[110][111],1,WWE_Championship,,
93,John Cena,"January 29, 2006",133,133,,,Royal Rumble,"Miami, FL",78,,WWE,[112][113],2,WWE_Championship,,
94,Rob Van Dam,"June 11, 2006",22,22,,,ECW One Night Stand,"New York, NY",79,"Cashed in his Money in the Bank contract. This was an Extreme Rules match. The title became property of the new ECW brand due to Van Dam's status as an ECW wrestler. The ECW World Heavyweight Championship was subsequently reactivated for the brand and awarded to Van Dam, who became the only wrestler to ever hold both titles at the same time. The ECW Championship became a third concurrently active world championship in WWE.",WWE,[114][115],1,WWE_Championship,,
95,WWE: ECW,WWE: ECW,WWE: ECW,WWE: ECW,,,WWE: ECW,WWE: ECW,WWE: ECW,WWE: ECW,WWE,WWE: ECW,WWE: ECW,WWE_Championship,WWE: ECW,
96,Edge,"July 3, 2006",76,76,,,Raw,"Philadelphia, PA",80,This was a triple threat match also involving John Cena.The title became exclusive to the Raw brand due to Edge's status as a Raw wrestler.,WWE,[116][117],2,WWE_Championship,,
97,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,WWE_Championship,WWE: Raw,
98,John Cena,"September 17, 2006",380,380,,,Unforgiven,"Toronto, ON, Canada",81,"This was a Tables, Ladders and Chairs match.Had Cena lost, he would have had to leave the Raw brand.",WWE,[118],3,WWE_Championship,,
99,Vacated,"October 2, 2007",—,—,,,ECW,"Dayton, OH",—,The title was vacated when John Cena suffered a torn right pectoral tendon.,WWE,[119],—,WWE_Championship,,
100,Randy Orton,"October 7, 2007",<1,<1,,,No Mercy,"Rosemont, IL",82,"Orton was originally scheduled to have a Last Man Standing match against John Cena for the title, but due to Cena vacating the title due to a legit injury, Mr. McMahon awarded it to Orton at the start of the event, and was immediately challenged by Triple H.",WWE,[120],1,WWE_Championship,,
101,Triple H,"October 7, 2007",<1,<1,,,No Mercy,"Rosemont, IL",83,"After winning the championship, Mr. McMahon would tell Triple H that his previously booked match against Umaga at that event would now be for the WWE Championship. After defeating Umaga, McMahon stated that Randy Orton was invoking his rematch clause and scheduled a rematch for the same night.",WWE,[121],6,WWE_Championship,,
102,Randy Orton,"October 7, 2007",203,203,,,No Mercy,"Rosemont, IL",84,This was a Last Man Standing match.,WWE,[122],2,WWE_Championship,,
103,Triple H,"April 27, 2008",210,210,,,Backlash,"Baltimore, MD",85,"This was a fatal four-way elimination match also involving John Cena and John ""Bradshaw"" Layfield.The title became exclusive to the SmackDown brand following the 2008 WWE Draft.",WWE,[123][124],7,WWE_Championship,,
104,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,,,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE: SmackDown,WWE,WWE: SmackDown,WWE: SmackDown,WWE_Championship,WWE: SmackDown,
105,Edge,"November 23, 2008",21,21,,,Survivor Series,"Boston, MA",86,"This was a triple threat match also involving Vladimir Kozlov. Jeff Hardy had originally been scheduled to take part in the match, but he did not participate after being (in storyline) attacked prior to the event. Triple H and Kozlov started the match before Edge was revealed as Hardy's surprise replacement.",WWE,[125],3,WWE_Championship,,
106,Jeff Hardy,"December 14, 2008",42,42,,,Armageddon,"Buffalo, NY",87,This was a triple threat match also involving Triple H.,WWE,[126][127],1,WWE_Championship,,
107,Edge,"January 25, 2009",21,21,,,Royal Rumble,"Detroit, MI",88,This was a no disqualification match.,WWE,[128][129],4,WWE_Championship,,
108,Triple H,"February 15, 2009",70,70,,,No Way Out,"Seattle, WA",89,"This was an Elimination Chamber match also involving Big Show, Jeff Hardy, The Undertaker, and Vladimir Kozlov. The title became exclusive to the Raw brand following the 2009 WWE Draft.",WWE,[130][131],8,WWE_Championship,,
109,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,,,WWE: Raw,WWE: Raw,WWE: Raw,WWE: Raw,WWE,WWE: Raw,WWE: Raw,WWE_Championship,WWE: Raw,
110,Randy Orton,"April 26, 2009",42,42,,,Backlash,"Providence, RI",90,"This was a six-man tag team match with The Legacy (Randy Orton, Cody Rhodes, and Ted DiBiase) against Batista, Triple H, and Shane McMahon. Orton pinned Triple H to win the title.",WWE,[132][133],3,WWE_Championship,,
111,Batista,"June 7, 2009",2,2,,,Extreme Rules,"New Orleans, LA",91,This was a steel cage match.,WWE,[134][135],1,WWE_Championship,,
112,Vacated,"June 9, 2009",—,—,,,—,—,—,The title was vacated when Batista suffered a torn left biceps.,WWE,[136],—,WWE_Championship,,
113,Randy Orton,"June 15, 2009",90,90,,,Raw,"Charlotte, NC",92,"This was a fatal four-way match for the vacant title also involving Big Show, John Cena, and Triple H.",WWE,[137][138],4,WWE_Championship,,
114,John Cena,"September 13, 2009",21,21,,,Breaking Point,"Montreal, QC, Canada",93,"This was an ""I quit"" match.Had anyone interfered on Randy Orton's behalf, he would have forfeited the title.",WWE,[139][140],4,WWE_Championship,,
115,Randy Orton,"October 4, 2009",21,21,,,Hell in a Cell,"Newark, NJ",94,This was a Hell in a Cell match.,WWE,[141][142],5,WWE_Championship,,
116,John Cena,"October 25, 2009",49,49,,,Bragging Rights,"Pittsburgh, PA",95,"This was a 60-minute Anything Goes Iron Man match in which Cena won 6–5.Had Cena lost, he would have had to leave the Raw brand.",WWE,[143][144],5,WWE_Championship,,
117,Sheamus,"December 13, 2009",70,70,,,"TLC: Tables, Ladders & Chairs","San Antonio, TX",96,This was a tables match.,WWE,[145][146],1,WWE_Championship,,
118,John Cena,"February 21, 2010",<1,<1,,,Elimination Chamber,"St. Louis, MO",97,"This was an Elimination Chamber match also involving Kofi Kingston, Randy Orton, Ted DiBiase Jr., and Triple H.",WWE,[147],6,WWE_Championship,,
119,Batista,"February 21, 2010",35,35,,,Elimination Chamber,"St. Louis, MO",98,Batista was transferred to the Raw brand after winning the title.,WWE,[148],2,WWE_Championship,,
120,John Cena,"March 28, 2010",84,84,,,WrestleMania XXVI,"Glendale, AZ",99,,WWE,[149],7,WWE_Championship,,
121,Sheamus,"June 20, 2010",91,91,,,Fatal 4-Way,"Uniondale, NY",100,This was a fatal four-way match also involving Edge and Randy Orton.,WWE,[150],2,WWE_Championship,,
122,Randy Orton,"September 19, 2010",64,64,,,Night of Champions,"Rosemont, IL",101,"This was a six-pack elimination challenge also involving Chris Jericho, Edge, John Cena, and Wade Barrett, who decided to cash-in his title shot due to winning the first season of NXT.",WWE,[151],6,WWE_Championship,,
123,The Miz,"November 22, 2010",160,160,,,Raw,"Orlando, FL",102,"Cashed in his Money in the Bank contract. In April 2011, WWE ceased using its full name with the ""WWE"" abbreviation becoming an orphaned initialism.",WWE,[152],1,WWE_Championship,,
124,John Cena,"May 1, 2011",77,77,,,Extreme Rules,"Tampa, FL",103,This was a triple threat steel cage match also involving John Morrison.,WWE,[153],8,WWE_Championship,,
125,CM Punk,"July 17, 2011",28,28,,,Money in the Bank,"Rosemont, IL",104,"Punk (kayfabe) left WWE the day after with the championship, but he returned on the July 25, 2011 episode of Raw and his reign was deemed to continue through this period.",WWE,[154],1,WWE_Championship,,
126,Vacated,"July 18, 2011",—,—,,,Raw,"Green Bay, WI",—,"The title was vacated due to CM Punk leaving WWE.This vacancy is no longer recognized due to Punk's return on the July 25, 2011 episode of Raw.",WWE,[31][155],—,WWE_Championship,,
